,SECID,SECNAME,SHORTNAME,COUPONVALUE,COUPONPERCENT,MATDATE,NEXTCOUPON,STATUS,FACEVALUE,DELTA
1746,RU000A104WF9,Славнефть БО 002Р-04,Славнеф2Р4,25.31,10.15,2032-06-11,2023-03-24,A,1000.0,9 years 5 months
1743,RU000A104W33,Почта России БО-002P-03,ПочтаР2P03,50.61,10.15,2032-06-08,2023-06-20,A,1000.0,9 years 5 months
1742,RU000A104W17,Почта России БО-002P-02,ПочтаР2P02,50.61,10.15,2032-06-08,2023-06-20,A,1000.0,9 years 5 months
1741,RU000A104VS4,Ростелеком ПАО 002P-08R,Ростел2P8R,50.86,10.2,2025-06-11,2023-06-14,A,1000.0,2 years 5 months
1698,RU000A104HY1,АЛЬФА-БАНК Б2Р17,АЛЬФАБ2Р17,51.14,10.2,2025-02-10,2023-02-09,A,1000.0,2 years 1 months
1763,RU000A104Z48,ВЭБ.РФ ПБО-002Р-33,ВЭБ2P-33,50.86,10.2,2027-07-15,2023-01-19,A,1000.0,4 years 6 months
1764,RU000A104Z63,ВЭБ.РФ ПБО-001Р-32,ВЭБ1P-32,50.86,10.2,2028-01-14,2023-01-20,A,1000.0,5 years 0 months
507,RU000A0ZZRY2,РЖД ОАО БО 001Р-09R,РЖД 1Р-09R,51.06,10.24,2033-10-14,2023-04-28,A,1000.0,10 years 9 months
429,RU000A0ZYNY4,ГосТранспортЛизингКомп 001P-07,ГТЛК 1P-07,25.55,10.25,2032-12-31,2023-01-13,A,1000.0,10 years 0 months
1658,RU000A104A39,ИНК-Капитал 001Р-01,Капитал1Р1,51.11,10.25,2026-12-11,2023-06-16,A,1000.0,3 years 11 months
665,RU000A100VX2,Межд.Банк Эк.Сотруд. 001P-01,МБЭС 1P-01,51.11,10.25,2029-09-26,2023-04-05,A,1000.0,6 years 9 months
207,RU000A0JWD57,"""Российские ЖД"" ОАО БО-05",РЖД БО-05,51.36,10.3,2026-04-03,2023-04-07,A,1000.0,3 years 3 months
245,RU000A0JWU31,ООО Трансп.Концесс.Комп. кл.A1,ТКК кл. А1,103.0,10.3,2033-09-23,2023-09-26,A,1000.0,10 years 9 months
1925,RU000A105ND0,Калининградская область 35007,КалинОбл22,25.8,10.35,2029-12-13,2023-03-23,A,1000.0,6 years 11 months
1765,RU000A104Z71,Биннофарм Групп 001Р-02,БинФарм1P2,25.8,10.35,2037-07-02,2023-01-19,A,1000.0,14 years 6 months
1304,RU000A102TR4,Ритейл Бел Финанс 001P-02,РитйлБФ1P2,25.8,10.35,2026-03-05,2023-03-09,A,1000.0,3 years 2 months
195,RU000A0JW126,КАМАЗ ПАО БО-13,КАМАЗ БО13,51.81,10.39,2030-12-05,2023-06-15,A,1000.0,7 years 11 months
482,RU000A0ZZBV2,ПАО ЛК Европлан БО-08,ЕвропланБ8,51.86,10.4,2028-06-20,2022-12-27,A,1000.0,5 years 6 months
124,RU000A0JV375,ГосТранспортЛизингКомп БО-03,ГТЛК БО-03,25.98,10.42,2024-12-10,2023-03-14,A,1000.0,1 years 11 months
7,RU000A0JRJB8,Запад.скор.диаметр АО об.01,ЗСД 01,52.06,10.44,2031-05-13,2023-05-23,A,1000.0,8 years 4 months
8,RU000A0JRJL7,Запад.скор.диаметр АО об.02,ЗСД 02,52.06,10.44,2031-05-13,2023-05-23,A,1000.0,8 years 4 months
192,RU000A0JVZK7,Россети Кубань ПАО 001P-01,РСКуб1P01,52.06,10.44,2025-11-21,2023-05-26,A,1000.0,2 years 11 months
436,RU000A0ZYRY5,ГПБ (АО) БО-19,ГПБ БО-19,52.68,10.45,2023-02-12,2023-02-12,A,1000.0,1 months
1042,RU000A1022G1,Бизнес-Недвижимость 001Р-01,БизНед 1Р1,26.05,10.45,2024-08-23,2023-02-24,A,1000.0,1 years 8 months
435,RU000A0ZYRX7,ГПБ (АО) БО-18,ГПБ БО-18,52.68,10.45,2023-02-12,2023-02-12,A,1000.0,1 months
518,RU000A0ZZVQ0,Россельхозбанк АО БО-07Р,РСХБ БО-7Р,52.07,10.5,2038-11-22,2023-05-22,A,1000.0,15 years 11 months
215,RU000A0JWH87,"ПАО ""АНК ""Башнефть"" БО-02",БашнфтБО2,52.36,10.5,2026-05-12,2023-05-16,A,1000.0,3 years 4 months
1600,RU000A1040R0,ХК Финанс ООО БО 001Р-07,ХКФинБ1P7,26.18,10.5,2024-11-11,2023-02-13,A,1000.0,1 years 10 months
1564,RU000A103W26,РГ Лизинг 1P1,РГ Лиз 1P1,52.36,10.5,2026-10-12,2023-04-17,A,1000.0,3 years 9 months
481,RU000A0ZZAT8,Пионер-Лизинг БО-П01,ПионЛизБП1,8.63,10.5,2023-05-31,2023-01-01,A,1000.0,5 months
170,RU000A0JVS36,ТрансФин-М ПАО БО-41,ТрансФБО41,52.36,10.5,2025-09-03,2023-03-08,A,1000.0,2 years 8 months
739,RU000A101798,ИНГРАД 002P-01,ИНГРАД 2P1,52.36,10.5,2029-12-06,2023-06-15,A,1000.0,6 years 11 months
931,RU000A101T72,"Аптечная сеть 36,6 002P-01","Апт36,62P1",52.36,10.5,2030-06-04,2023-06-13,A,1000.0,7 years 5 months
654,RU000A100TS6,ТрансФин-М ПАО 001P-06,ТрансФ1P06,52.36,10.5,2029-09-03,2023-03-13,A,1000.0,6 years 8 months
641,RU000A100Q92,ЮАИЗ БО 1-002,ЮАИЗ 1-002,26.18,10.5,2024-08-13,2023-02-09,A,1000.0,1 years 7 months
1432,RU000A103CD8,Дельта 001Р-01,Дельта1Р01,26.18,10.5,2024-07-01,2023-01-02,A,1000.0,1 years 6 months
393,RU000A0ZYG37,ИНГРАД ПАО БО-001P-01,ИНГР Б1P1,52.36,10.5,2027-11-09,2023-05-16,A,1000.0,4 years 10 months
1323,RU000A102X18,ФПК Гарант-Инвест БО 002Р-03,ГарИнв2P03,26.18,10.5,2024-03-26,2022-12-27,A,1000.0,1 years 3 months
328,RU000A0JXVB1,ТрансФин-М ПАО 001P-03,ТрансФ1P03,52.36,10.5,2027-06-28,2023-01-02,A,1000.0,4 years 6 months
1307,RU000A102US0,ТАЛАН-ФИНАНС БО 001Р-02,ТАЛАНФБ1P2,26.18,10.5,2024-03-13,2023-03-15,A,1000.0,1 years 2 months
533,RU000A0ZZZZ2,ГК Самолет БО-П04,Самолет1P4,26.18,10.5,2028-12-14,2023-03-23,A,1000.0,5 years 11 months
331,RU000A0JXXE1,ПАО НК Роснефть 001P-07,Роснфт1P7,52.36,10.5,2027-07-14,2023-01-18,A,1000.0,4 years 6 months
1800,RU000A105518,ПАО ЛК Европлан 001P-05,Европлн1Р5,26.18,10.5,2025-08-27,2023-03-01,A,1000.0,2 years 8 months
1770,RU000A104ZV9,РГ Лизинг 1P3,РГ Лиз 1P3,26.18,10.5,2027-07-22,2023-01-26,A,1000.0,4 years 7 months
3,RU000A0JQAM6,ДОМ.РФ (АО) обл. сер. А15,ДОМ.РФ15об,52.07,10.5,2028-09-15,2023-03-15,A,1000.0,5 years 8 months
1508,RU000A103Q08,ХэндерсонБ01,ХэндрснБ01,26.18,10.5,2025-03-25,2022-12-27,A,1000.0,2 years 3 months
330,RU000A0JXXD3,ПАО НК Роснефть 001P-06,Роснфт1P6,52.36,10.5,2027-07-14,2023-01-18,A,1000.0,4 years 6 months
1894,RU000A105JG1,Позитив Текнолоджиз 001Р-02,ПозТех-1Р2,26.3,10.55,2025-12-03,2023-03-08,A,1000.0,2 years 11 months
240,RU000A0JWT91,Удмуртская респ. обл. 2016,Удмурт2016,26.3,10.55,2026-09-19,2022-12-24,A,1000.0,3 years 9 months
1891,RU000A105HN1,РН БАНК АО БО-001Р-10,РНБАНК1Р10,53.15,10.6,2025-12-01,2023-05-31,A,1000.0,2 years 11 months
1472,RU000A103JR3,Джи-групп 002P-01,Джи-гр 2Р1,26.43,10.6,2024-08-12,2023-02-13,A,1000.0,1 years 7 months
1930,RU000A105NT6,Магаданская область ГО2022,МгдОбл2022,26.45,10.61,2027-12-17,2023-03-24,A,1000.0,4 years 11 months
1753,RU000A104XR2,Автодор ГК БО-003Р-02,Автодор3Р2,61.86,10.65,2027-07-01,2023-02-04,A,1000.0,4 years 6 months
132,RU000A0JV8G3,ВЭБ-лизинг АО БО-05,ВЭБлизБ05,53.3,10.69,2025-02-04,2023-02-07,A,1000.0,2 years 1 months
131,RU000A0JV8D0,ВЭБ-лизинг АО БО-04,ВЭБлизБ04,53.3,10.69,2025-01-31,2023-02-03,A,1000.0,2 years 1 months
511,RU000A0ZZTL5,Федерал пассажир комп 001Р-05,ФПК 1P-05,53.4,10.71,2028-11-02,2023-05-11,A,1000.0,5 years 10 months
475,RU000A0ZZ893,КАМАЗ ПАО об. БО-11,КАМАЗ БО11,53.57,10.743,2033-05-10,2023-05-23,A,1000.0,10 years 4 months
473,RU000A0ZZ877,КАМАЗ ПАО об. БО-10,КАМАЗ БО10,53.57,10.743,2033-05-10,2023-05-23,A,1000.0,10 years 4 months
474,RU000A0ZZ885,КАМАЗ ПАО об. БО-09,КАМАЗ БО-9,53.57,10.743,2033-05-10,2023-05-23,A,1000.0,10 years 4 months
1791,RU000A1053P7,ГК Сегежа 002P-05R,Сегежа2P5R,53.6,10.75,2037-07-30,2023-02-16,A,1000.0,14 years 7 months
985,RU000A101XD8,МаксимаТелеком БО-П01,iMT_FREE01,53.6,10.75,2026-07-14,2023-01-17,A,1000.0,3 years 6 months
1442,RU000A103DT2,ИСКЧ БО-01,ИСКЧ БО01,26.8,10.75,2026-07-08,2023-01-11,A,1000.0,3 years 6 months
1804,RU000A1055U2,ГК Сегежа 002P-06R,Сегежа2P6R,26.8,10.75,2025-09-02,2023-03-07,A,1000.0,2 years 8 months
1060,RU000A102556,СЭЗ им. С.Орджоникидзе 001Р-02,СЭЗ 1P2,26.8,10.75,2027-09-14,2023-03-21,A,1000.0,4 years 8 months
1369,RU000A1032X5,ТЕХНО Лизинг 001P-04,ТЕХЛиз 1P4,8.84,10.75,2026-04-16,2023-01-02,A,1000.0,3 years 3 months
536,RU000A1001L5,ЮАИЗ БО 1-001,ЮАИЗ 1-001,26.8,10.75,2024-01-22,2023-01-18,A,1000.0,1 years 0 months
625,RU000A100MG6,"""Сэтл-Групп"" ООО БО-001P-02",СэтлГрБ1P2,26.8,10.75,2023-01-17,2023-01-17,A,1000.0,0 months
223,RU000A0JWK74,"АО ""Объед.двигателестр.корп""01",ОДК 01,53.6,10.75,2026-06-10,2023-06-02,A,1000.0,3 years 5 months
1521,RU000A103RJ3,Первое кол.бюро НАО 001Р-02,ПКБ 1Р-02,26.8,10.75,2025-09-19,2023-03-24,A,1000.0,2 years 9 months
1863,RU000A105CS1,Селигдар 001Р-01,Селигдар1Р,53.85,10.8,2025-10-29,2023-05-03,A,1000.0,2 years 10 months
1111,RU000A1029F8,Лизинг-Трейд 001P-02,ЛТрейд 1P2,8.88,10.8,2024-10-01,2023-01-10,A,1000.0,1 years 9 months
1674,RU000A104BY4,Бизнес-Недвижимость 001Р-02,БизНед 1Р2,26.93,10.8,2026-12-18,2023-03-24,A,1000.0,3 years 12 months
1767,RU000A104ZC9,КАМАЗ ПАО БО-П10,КАМАЗ БП10,26.93,10.8,2025-07-18,2023-01-20,A,1000.0,2 years 6 months
1837,RU000A105AD7,ГК Сегежа 002P-07R,Сегежа2P7R,27.0,10.83,2024-04-10,2023-01-11,A,1000.0,1 years 3 months
1756,RU000A104Y15,Белуга Групп 002P БО-П05,БелугаБП5,54.1,10.85,2027-07-06,2023-01-10,A,1000.0,4 years 6 months
485,RU000A0ZZCX6,Концерн РОССИУМ ООО 001P-01,РОССИУМ1P1,54.2,10.87,2027-12-30,2023-01-05,A,1000.0,5 years 0 months
1758,RU000A104Y98,Балтийский лизинг ООО БО-П05,БалтЛизБП5,54.35,10.9,2032-07-01,2023-01-12,A,1000.0,9 years 6 months
212,RU000A0JWGD0,"ПАО ""АНК ""Башнефть"" БО-08",БашнфтБО8,54.35,10.9,2026-04-29,2023-05-03,A,1000.0,3 years 4 months
373,RU000A0ZYBA9,ООО Трансп.Концесс.Комп. кл.A2,ТКК кл. А2,109.0,10.9,2033-12-31,2023-11-08,A,1000.0,11 years 0 months
1822,RU000A1058M3,Балтийский лизинг ООО БО-П06,БалтЛизБП6,54.35,10.9,2025-09-24,2023-03-29,A,1000.0,2 years 9 months
1689,RU000A104FG2,ГК Сегежа 002P-03R,Сегежа2P3R,27.18,10.9,2037-01-07,2023-01-25,A,1000.0,14 years 0 months
612,RU000A100JH0,Ритейл Бел Финанс 01,РитейлБФ01,27.3,10.95,2024-07-02,2023-01-03,A,1000.0,1 years 6 months
197,RU000A0JW1P8,ГосТранспортЛизингКомп БО-07,ГТЛК БО-07,27.37,10.98,2025-12-16,2023-03-21,A,1000.0,2 years 11 months
15,RU000A0JS4Z7,ВЭБ.РФ об. сер. 21,ВЭБ.РФ 21,54.8,10.99,2032-02-17,2023-02-28,A,1000.0,9 years 1 months
811,RU000A101H43,ГК Самолет БО-П08,Самолет1P8,54.85,11.0,2023-02-28,2023-02-28,A,1000.0,2 months
184,RU000A0JVWD9,ГосТранспортЛизингКомп БО-05,ГТЛК БО-05,27.42,11.0,2025-10-17,2023-01-20,A,1000.0,2 years 9 months
780,RU000A101DU4,Вита Лайн БО-01,ВитаЛайнБ1,27.42,11.0,2023-02-03,2023-02-03,A,1000.0,1 months
175,RU000A0JVUS1,РЕСО-Лизинг ООО БО-3,РЕСОЛизБ03,54.85,11.0,2025-10-03,2023-04-07,A,1000.0,2 years 9 months
1875,RU000A105G99,СФО ВТБ РКС Эталон 01,РКСЭталон1,12.66,11.0,2030-04-02,2023-01-02,A,1000.0,7 years 3 months
1425,RU000A103B05,Татнефтехим 02,Татнхим 02,18.08,11.0,2024-06-08,2023-02-14,A,1000.0,1 years 5 months
1731,RU000A104UA4,ГК Сегежа 002P-04R,Сегежа2P4R,27.42,11.0,2037-05-11,2023-02-27,A,1000.0,14 years 4 months
848,RU000A101LV5,СофтЛайн Трейд 001P-03,iСЛТ001P03,27.42,11.0,2023-01-19,2023-01-19,A,1000.0,0 months
1336,RU000A1030N0,ФЭС-Агро ООО БО-02,ФЭС-АгроБ2,27.42,11.0,2024-04-17,2023-01-18,A,1000.0,1 years 3 months
1566,RU000A103WB0,Славянск ЭКО 001Р-01,СлавЭКО1Р1,27.42,11.0,2026-10-13,2023-01-17,A,1000.0,3 years 9 months
1373,RU000A103414,Ред Софт БО 002Р-02,РедСофт2P2,27.42,11.0,2024-05-16,2023-02-16,A,1000.0,1 years 4 months
1556,RU000A103UL3,Татнефтехим 001-P-01,ТатнхимP01,18.08,11.0,2026-09-15,2023-02-03,A,1000.0,3 years 8 months
1389,RU000A1034X1,Лизинг-Трейд 001P-03,ЛТрейд 1P3,9.04,11.0,2026-04-30,2023-01-16,A,1000.0,3 years 4 months
286,RU000A0JXE06,ГосТранспортЛизингКомп 001P-03,ГТЛК 1P-03,27.42,11.0,2032-01-22,2023-02-02,A,1000.0,9 years 1 months
1407,RU000A1037S4,С-Инновации БО-П02,С-ИнновБП2,27.42,11.0,2023-06-07,2023-03-08,A,1000.0,5 months
605,RU000A100HE1,АЗБУКА_ВКУСА_БОП1,АЗБУКАВКП1,27.42,11.0,2029-06-15,2023-03-24,A,1000.0,6 years 5 months
1697,RU000A104HU9,ВЭБ.РФ ПБО-001Р-К399,ВЭБ1P-К399,110.7,11.1,2023-02-14,2023-02-14,A,1000.0,1 months
387,RU000A0ZYF38,ДОМ.РФ (АО) БО-07,ДОМ.РФ Б-7,27.67,11.1,2050-11-07,2023-02-01,A,1000.0,27 years 10 months
1719,RU000A104L36,Тойота Банк БО-001Р-05,ТойотаБ1P5,55.9,11.15,2025-02-27,2023-02-26,A,1000.0,2 years 2 months
525,RU000A0ZZYL5,Калужская сбытовая комп 1P 01,Калсб 1P01,55.85,11.2,2023-12-11,2023-06-12,A,1000.0,11 months
186,RU000A0JVXS5,РЕСО-Лизинг ООО БО-4,РЕСОЛизБ04,55.85,11.2,2025-10-30,2023-05-04,A,1000.0,2 years 10 months
165,RU000A0JVP39,КАМАЗ ПАО БО-12,КАМАЗ 12,56.05,11.24,2030-07-18,2023-01-26,A,1000.0,7 years 6 months
1904,RU000A105KR6,Восточная Стивидор.Ком 1P-03R,ВСК 1P-03R,56.1,11.25,2027-11-30,2023-06-06,A,1000.0,4 years 11 months
1406,RU000A1037L9,Бифорком Тек БО-П01,БифТек1P1,28.05,11.25,2024-06-04,2023-03-07,A,1000.0,1 years 5 months
1914,RU000A105M67,ГруппаЧеркизово БО-001Р-06,ЧеркизБ1P6,28.17,11.3,2027-12-09,2023-03-16,A,1000.0,4 years 11 months
552,RU000A1005L6,АФК Система БО 001P-09,Система1P9,56.35,11.3,2029-02-21,2023-03-01,A,1000.0,6 years 2 months
434,RU000A0ZYR91,ГТЛК БО 001Р-08,ГТЛК 1P-08,28.22,11.32,2033-01-18,2023-01-31,A,1000.0,10 years 0 months
599,RU000A100FE5,ГТЛК БО 001P-14,ГТЛК 1P-14,28.4,11.39,2034-05-25,2023-03-09,A,1000.0,11 years 5 months
1737,RU000A104V75,Почта России БО-002P-01,ПочтаР2P01,56.84,11.4,2032-05-26,2023-06-07,A,1000.0,9 years 5 months
1130,RU000A102B30,Интерлизинг 001Р-01,ИнтЛиз1Р01,28.67,11.5,2023-10-30,2023-01-30,A,1000.0,10 months
214,RU000A0JWGV2,Почта России (АО) БО-02,ПочтаРосБ2,57.34,11.5,2026-05-07,2023-05-11,A,1000.0,3 years 4 months
1549,RU000A103TS0,ТЕХНО Лизинг 001P-05,ТЕХЛиз 1P5,9.45,11.5,2027-09-03,2022-12-28,A,1000.0,4 years 8 months
209,RU000A0JWDB1,"АО ""Объед.двигателестр.корп""03",ОДК 03,57.34,11.5,2024-06-26,2023-06-16,A,1000.0,1 years 6 months
1917,RU000A105M91,Синара Транспортные Машины 1P3,СТМ 1P3,28.67,11.5,2027-12-10,2023-03-17,A,1000.0,4 years 11 months
1572,RU000A103WZ9,НЕКС-Т БО-П01,NexTouchB1,28.67,11.5,2024-10-22,2023-01-24,A,1000.0,1 years 10 months
1492,RU000A103NE3,Регион-Продукт БО 001Р-02,РегПрод1Р2,28.67,11.5,2026-09-03,2023-03-09,A,1000.0,3 years 8 months
1729,RU000A104TQ2,ЕАБР БО 001P-08,ЕАБР 1P-08,28.67,11.5,2024-11-27,2023-03-01,A,1000.0,1 years 11 months
820,RU000A101HP5,ИНГРАД 002P-02,ИНГРАД 2P2,57.34,11.5,2030-02-27,2023-03-08,A,1000.0,7 years 2 months
1792,RU000A1053T9,ПРОМОМЕД ДМ 001P-03,iПМЕДДМ1Р3,57.34,11.5,2025-08-14,2023-02-16,A,1000.0,2 years 7 months
1872,RU000A105FS4,Селектел 001P-02R,iСелкт1Р2R,57.34,11.5,2025-11-11,2023-05-16,A,1000.0,2 years 10 months
1871,RU000A105FM7,О'КЕЙ Финанс 001P-01,О'КЕЙ Ф1Р1,28.67,11.5,2032-11-01,2023-02-13,A,1000.0,9 years 10 months
1713,RU000A104KT5,Автодор ГК БО-004Р-05,Автодор4Р5,57.84,11.6,2023-02-21,2023-02-21,A,1000.0,1 months
201,RU000A0JW6P7,ВЭБ.РФ ПБО-001Р-01,ВЭБ ПБО1Р1,115.68,11.6,2025-02-17,2023-02-20,A,1000.0,2 years 1 months
185,RU000A0JVWJ6,ГосТранспортЛизингКомп БО-06,ГТЛК БО-06,29.02,11.64,2025-10-20,2023-01-23,A,1000.0,2 years 10 months
1725,RU000A104T04,Мобильные ТелеСистемы 001P-19,МТС 1P-19,29.14,11.69,2025-05-07,2023-02-08,A,1000.0,2 years 4 months
1862,RU000A105CM4,ХК Новотранс 001P-03,Новотр 1Р3,29.17,11.7,2027-10-26,2023-01-31,A,1000.0,4 years 10 months
89,RU000A0JUKX4,ДОМ.РФ (АО) обл. сер. А30,ДОМ.РФ30об,28.85,11.7,2033-03-01,2023-03-01,A,1000.0,10 years 2 months
1901,RU000A105KB0,ГТЛК БО 002P-02,ГТЛК 2P-02,29.17,11.7,2037-11-17,2023-03-07,A,1000.0,14 years 11 months
1555,RU000A103U69,НПП Моторные технологии001Р-03,МоторТ1Р03,29.29,11.75,2026-09-29,2023-01-03,A,1000.0,3 years 9 months
1644,RU000A104735,ГК Пионер БО 001P-06,Пионер 1P6,29.29,11.75,2025-12-04,2023-03-09,A,1000.0,2 years 11 months
1726,RU000A104TD0,Ростелеком ПАО 002P-07R,Ростел2P7R,29.29,11.75,2026-05-08,2023-02-10,A,1000.0,3 years 4 months
1722,RU000A104SU6,Мобильные ТелеСистемы 001P-20,МТС 1P-20,29.29,11.75,2026-05-01,2023-02-03,A,1000.0,3 years 4 months
577,RU000A1008V9,РОСНАНО АО 08,РОСНАНО 8,58.94,11.82,2028-03-27,2023-04-03,A,1000.0,5 years 3 months
1650,RU000A1048A9,Брусника 002Р-01,Брус 2P01,29.54,11.85,2025-06-10,2023-03-14,A,1000.0,2 years 5 months
1723,RU000A104SX0,РЖД БО 001Р-24R,РЖД 1Р-24R,59.19,11.87,2027-04-30,2023-05-05,A,1000.0,4 years 4 months
1724,RU000A104SY8,РЖД БО 001Р-25R,РЖД 1Р-25R,59.19,11.87,2027-04-30,2023-05-05,A,1000.0,4 years 4 months
200,RU000A0JW5H6,МЕТАЛЛОИНВЕСТ ХК АО БО-07,МЕТАЛИНБ07,59.34,11.9,2026-02-12,2023-02-16,A,1000.0,3 years 1 months
198,RU000A0JW3A6,Вертолеты России об. БО-01,ВертолетБ1,59.34,11.9,2026-01-15,2023-01-19,A,1000.0,3 years 0 months
244,RU000A0JWU23,ООО Трансп.Концесс.Комп. кл.Б,ТКК кл.Б,120.0,12.0,2046-09-20,2023-10-11,A,1000.0,23 years 9 months
1217,RU000A102HG2,Охта Групп БО-П01,ОхтаГр БП0,29.92,12.0,2023-12-13,2023-03-15,A,1000.0,11 months
1571,RU000A103WX4,ФПК Гарант-Инвест БО 002Р-04,ГарИнв2P04,29.92,12.0,2023-05-26,2023-02-24,A,1000.0,5 months
1468,RU000A103HG0,АйДи Коллект 01,АйДиКоле01,9.86,12.0,2024-07-25,2023-01-02,A,1000.0,1 years 7 months
640,RU000A100Q50,ГК Самолет БО-П05,Самолет1P5,29.92,12.0,2029-07-31,2023-02-07,A,1000.0,6 years 7 months
1473,RU000A103K20,Маныч-Агро 02,Маныч02,29.92,12.0,2026-02-12,2023-02-16,A,1000.0,3 years 1 months
1063,RU000A1025E9,Регион-Продукт БО 001Р-01,РегПрод1Р1,29.92,12.0,2023-09-21,2023-03-23,A,1000.0,9 months
1485,RU000A103M85,Страна Девелопмент 01,Страна 01,9.86,12.0,2024-08-15,2022-12-24,A,1000.0,1 years 7 months
1787,RU000A1053A9,"""Сэтл-Групп"" ООО БО 002P-01",СэтлГрБ2P1,30.29,12.15,2025-08-13,2023-02-15,A,1000.0,2 years 7 months
1561,RU000A103VD8,МСБ-Лизинг 002P-05,МСБЛиз2P05,10.07,12.25,2026-09-18,2023-01-07,A,1000.0,3 years 8 months
1649,RU000A1047S3,Первое кол.бюро НАО 001Р-03,ПКБ 1Р-03,30.54,12.25,2025-12-05,2023-03-10,A,1000.0,2 years 11 months
751,RU000A101947,Сибирский КХП 001P-01,СибКХП 1P1,30.54,12.25,2024-12-20,2023-03-24,A,1000.0,1 years 12 months
1678,RU000A104CJ3,АВТОДОМ АО 001P-01,АВТОДОМ1Р1,30.54,12.25,2024-12-25,2022-12-28,A,1000.0,2 years 0 months
17,RU000A0JS926,Евразийский банк развития 10,ЕАБР10,61.08,12.25,2023-01-10,2023-01-10,A,1000.0,0 months
1821,RU000A1058K7,ЭР-Телеком Холдинг ПБО-02-02,ТелХолБ2-2,30.67,12.3,2024-12-24,2022-12-27,A,1000.0,2 years 0 months
1873,RU000A105FU0,Интерлизинг 001Р-04,ИнтЛиз1Р04,30.79,12.35,2025-11-11,2023-02-14,A,1000.0,2 years 10 months
1768,RU000A104ZK2,МВ ФИНАНС 001Р-03,МВ ФИН 1Р3,30.79,12.35,2025-07-22,2023-01-24,A,1000.0,2 years 7 months
1573,RU000A103X74,Фабрика ФАВОРИТ БО-П01,ФабрФав1P1,10.27,12.5,2024-10-10,2023-01-19,A,1000.0,1 years 9 months
1604,RU000A1040V2,Охта Групп БО-П02,ОхтаГрБП02,31.16,12.5,2024-11-12,2023-02-14,A,1000.0,1 years 10 months
1669,RU000A104B61,ЛКМБ-РТ 001P-01,ЛКМБ-РТ1P1,31.16,12.5,2024-12-19,2023-03-23,A,1000.0,1 years 12 months
562,RU000A100725,Брайт Финанс ООО БО-П01,БрайтФ БП1,31.16,12.5,2029-03-15,2023-03-23,A,1000.0,6 years 2 months
258,RU000A0JWYJ0,"Группа компаний ""Самолет"" 01",Самолет 01,31.16,12.5,2026-10-30,2023-02-03,A,1000.0,3 years 10 months
1237,RU000A102KQ5,ТД РКС 002Р-01,РКС2Р1,31.16,12.5,2023-12-20,2023-03-22,A,1000.0,12 months
1036,RU000A102234,ТЕХНО Лизинг 001P-03,ТЕХЛиз 1P3,10.27,12.5,2025-07-31,2023-01-13,A,1000.0,2 years 7 months
934,RU000A101TE4,Ред Софт БО 002Р-01,РедСофт2P1,31.16,12.5,2023-06-15,2023-03-16,A,1000.0,5 months
1744,RU000A104W58,Интерлизинг 001Р-03,ИнтЛиз1Р03,31.16,12.5,2024-06-19,2023-03-22,A,1000.0,1 years 5 months
923,RU000A101ST4,РЕСО-Лизинг ООО БО-П-03,РЕСОЛизБП3,62.33,12.5,2023-06-08,2023-06-08,A,1000.0,5 months
1701,RU000A104JQ3,ГК Самолет БО-П11,СамолетP11,63.33,12.7,2028-02-08,2023-02-14,A,1000.0,5 years 1 months
1934,XS0088543193,ГОВОЗ РФ МК-0-СМ-119 (XS),RUS-28,63.75,12.75,2028-06-24,2022-12-24,A,1000.0,5 years 6 months
1643,RU000A1046N6,АБЗ-1 001Р-02,АБЗ-1 1Р02,31.79,12.75,2024-12-03,2023-03-07,A,1000.0,1 years 11 months
1920,RU000A105MP6,ДОМОДЕДОВО ФьюэлФ 002Р-01,ДФФ 2Р-01,63.82,12.8,2025-12-16,2023-06-20,A,1000.0,2 years 11 months
814,RU000A101HA7,НПП Моторные технологии001Р-02,МоторТ1Р02,32.41,13.0,2023-03-01,2023-03-01,A,1000.0,2 months
650,RU000A100TB2,ПНППК 001P-01,ПНППК 1P01,32.41,13.0,2029-08-28,2023-03-07,A,1000.0,6 years 8 months
1883,RU000A105H07,Открытие Брокер СО-12,ОткрБРСО12,29.92,13.0,2025-12-09,2023-03-07,A,1000.0,2 years 11 months
538,RU000A1001T8,ММЦБ ПАО БО-П01-01,ММЦБ П01-1,32.41,13.0,2029-01-12,2023-03-21,A,1000.0,6 years 0 months
401,RU000A0ZYHW0,Левенгук ОАО БО-01,ЛевенгукБ1,32.41,13.0,2027-11-22,2023-02-27,A,1000.0,4 years 11 months
1615,RU000A1043B8,ТАЛАН-ФИНАНС БО 001Р-03,ТАЛАНФБ1P3,32.41,13.0,2025-05-19,2023-02-20,A,1000.0,2 years 4 months
1488,RU000A103N19,АПРИ Флай Плэнинг АО 05,АПРИФП 05,32.41,13.0,2025-09-02,2023-03-07,A,1000.0,2 years 8 months
1783,RU000A1052T1,Каршеринг Руссия 001P-01,КарРус 1P1,32.41,13.0,2025-08-06,2023-02-08,A,1000.0,2 years 7 months
1672,RU000A104BU2,АО ГК ЕКС БО-01,ГК ЕКС БО1,32.41,13.0,2024-12-19,2023-03-23,A,1000.0,1 years 12 months
1465,RU000A103H25,НПО ХимТэк 001P-01,ХимТэк 1Р1,32.41,13.0,2025-07-31,2023-02-02,A,1000.0,2 years 7 months
