,SECID,SECNAME,SHORTNAME,COUPONVALUE,COUPONPERCENT,MATDATE,NEXTCOUPON,STATUS,FACEVALUE,DELTA
812,RU000A101H84,РЖД ОАО БО 001Р-18R,РЖД 1Р-18R,46.82,9.39,2030-02-20,2023-03-01,A,1000.0,7 years 2 months
116,RU000A0JV1Y1,ПАО НК Роснефть БО-04,РоснфтБО4,46.87,9.4,2024-11-28,2023-06-01,A,1000.0,1 years 11 months
284,RU000A0JX9X4,"ПАО ""АНК ""Башнефть""БО-001P-03R",БашнфБ1P3R,46.87,9.4,2024-01-22,2023-01-23,A,1000.0,1 years 0 months
114,RU000A0JV1W5,ПАО НК Роснефть БО-02,РоснфтБО2,46.87,9.4,2024-11-28,2023-06-01,A,1000.0,1 years 11 months
115,RU000A0JV1X3,ПАО НК Роснефть БО-03,РоснфтБО3,46.87,9.4,2024-11-28,2023-06-01,A,1000.0,1 years 11 months
379,RU000A0ZYCR1,ТрансКомплектХолдинг АО Б-П1,ТКХ БП1,46.87,9.4,2027-09-30,2023-04-06,A,1000.0,4 years 9 months
627,RU000A100N12,АФК Система БО 001P-11,Систем1P11,46.87,9.4,2029-07-16,2023-01-23,A,1000.0,6 years 6 months
122,RU000A0JV250,ПАО НК Роснефть БО-12,РоснфтБО12,46.87,9.4,2024-11-28,2023-06-01,A,1000.0,1 years 11 months
120,RU000A0JV235,ПАО НК Роснефть БО-10,РоснфтБО10,46.87,9.4,2024-11-28,2023-06-01,A,1000.0,1 years 11 months
123,RU000A0JV268,ПАО НК Роснефть БО-13,РоснфтБО13,46.87,9.4,2024-11-28,2023-06-01,A,1000.0,1 years 11 months
117,RU000A0JV201,ПАО НК Роснефть БО-08,РоснфтБО8,46.87,9.4,2024-11-28,2023-06-01,A,1000.0,1 years 11 months
119,RU000A0JV227,ПАО НК Роснефть БО-14,РоснфтБО14,46.87,9.4,2024-11-28,2023-06-01,A,1000.0,1 years 11 months
121,RU000A0JV243,ПАО НК Роснефть БО-11,РоснфтБО11,46.87,9.4,2024-11-28,2023-06-01,A,1000.0,1 years 11 months
1611,RU000A1042P0,Промсвязьбанк 003P-08,ПСБ 3P-08,46.87,9.4,2023-11-17,2023-05-19,A,1000.0,10 months
118,RU000A0JV219,ПАО НК Роснефть БО-09,РоснфтБО9,46.87,9.4,2024-11-28,2023-06-01,A,1000.0,1 years 11 months
1259,RU000A102MA5,ГСП-Финанс 02,ГСП-Ф 02,23.51,9.43,2028-03-27,2022-12-27,A,1000.0,5 years 3 months
883,RU000A101QF7,Ритейл Бел Финанс 001P-01,РитйлБФ1P1,23.56,9.45,2025-05-28,2023-03-01,A,1000.0,2 years 5 months
1568,RU000A103WQ8,"""Сэтл-Групп"" ООО БО 001P-04",СэтлГрБ1P4,23.56,9.45,2025-04-18,2023-01-20,A,1000.0,2 years 3 months
1879,RU000A105GU8,Автодор ГК БО-004Р-02,Автодор4Р2,47.12,9.45,2027-11-16,2023-05-23,A,1000.0,4 years 10 months
235,RU000A0JWPW1,Транснефть ПАО БО-001P-03,ТрнфБО1P3,47.12,9.45,2023-08-03,2023-02-02,A,1000.0,7 months
1461,RU000A103G91,ПРОМОМЕД ДМ 001P-02,iПМЕДДМ1Р2,47.12,9.45,2024-07-26,2023-01-27,A,1000.0,1 years 7 months
1929,RU000A105NP4,ДОМ.РФ Ипотечный агент БО 1P30,ИАДОМ 1P30,32.92,9.46,2032-10-28,2023-04-28,A,1000.0,9 years 10 months
1671,RU000A104BC0,Калининградская область 35004,КалинОбл21,23.68,9.5,2028-12-14,2023-03-23,A,1000.0,5 years 11 months
166,RU000A0JVPS1,ТрансФин-М ПАО БО-40,ТрансФБО40,47.37,9.5,2025-08-11,2023-02-13,A,1000.0,2 years 7 months
1308,RU000A102UZ5,Кировский завод 1P2,КировЗд1Р2,23.68,9.5,2026-03-12,2023-03-16,A,1000.0,3 years 2 months
275,RU000A0JX2P5,"ПАО ""АНК ""Башнефть""БО-001P-01R",БашнфБ1P1R,47.37,9.5,2024-12-12,2023-06-15,A,1000.0,1 years 11 months
510,RU000A0ZZTK7,ТрансКомплектХолдинг AО БО-П2,ТКХ БО-П02,47.37,9.5,2028-11-02,2023-05-11,A,1000.0,5 years 10 months
587,RU000A100BB0,РУСАЛ Братск БО-001P-01,РУСАБрБ1P1,47.37,9.5,2029-04-16,2023-04-24,A,1000.0,6 years 3 months
913,RU000A101S99,Кировский завод 1P1,КировЗд1Р1,23.68,9.5,2025-06-03,2023-03-07,A,1000.0,2 years 5 months
1448,RU000A103F27,Центральная ППК П01-БО-03,ЦППК 1P-03,47.37,9.5,2024-07-17,2023-01-18,A,1000.0,1 years 6 months
548,RU000A1004L9,Правоурмийское ООО БО-01,ПравоурмБ1,47.37,9.5,2028-03-31,2023-03-31,A,1000.0,5 years 3 months
